Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot_Cases/1M_pop,Deaths/1M_pop,Total_Tests,Tests/1M_pop,Population,Region
Malaysia,363940,1767,1345,12.0,346295,1290.0,16300,199.0,11133,41.0,8292260,253658,32690753,Asia
Panama,359121,329,6173,6.0,348953,399.0,3995,105.0,82218,1413.0,2252943,515796,4367896,North America
Ecuador,347589,519,17351,53.0,298604,8290.0,31634,600.0,19470,972.0,1198764,67148,17852660,South America
Belarus,337635,754,2373,10.0,327848,761.0,7414,0.0,35740,251.0,5570822,589700,9446877,Europe
Greece,301103,4017,9054,93.0,254804,0.0,37245,802.0,29000,872.0,7185541,692053,10382930,Europe
Croatia,294874,1936,6358,25.0,276420,1659.0,12096,192.0,72179,1556.0,1652525,404504,4085307,Europe
Georgia,290129,1374,3894,11.0,278251,422.0,7984,0.0,72839,978.0,3722612,934593,3983138,Asia
Azerbaijan,289601,2457,3978,34.0,253762,2002.0,31861,0.0,28362,390.0,3040386,297760,10210853,Asia
Bolivia,283084,989,12469,18.0,232422,876.0,38193,71.0,23995,1057.0,999531,84723,11797677,South America
Nepal,280984,460,3058,5.0,274318,153.0,3608,0.0,9510,103.0,2321670,78577,29546342,Asia
Tunisia,274604,1664,9396,64.0,228267,2197.0,36941,436.0,23046,789.0,1191995,100037,11915556,Africa
Kazakhstan,273825,2016,3260,24.0,235862,1197.0,34703,221.0,14448,172.0,9258849,488525,18952655,Asia
Palestine,272767,1911,2901,18.0,237046,2348.0,32820,182.0,52517,559.0,1636553,315093,5193881,Asia
Dominican Republic,258637,598,3397,5.0,217008,228.0,38232,148.0,23656,311.0,1352703,123724,10933195,North America
Kuwait,250273,1544,1419,7.0,233757,1201.0,15097,235.0,57934,328.0,2178279,504232,4319992,Asia
Moldova,242364,544,5438,29.0,225036,1214.0,11890,293.0,60191,1351.0,909884,225969,4026580,Europe
Ireland,241684,354,4803,18.0,221938,365.0,14943,46.0,48521,964.0,4209763,845163,4981009,Europe
Paraguay,240141,2599,4978,89.0,196718,1731.0,38445,485.0,33348,691.0,988044,137206,7201165,South America
Denmark,238869,563,2446,3.0,228007,763.0,8416,39.0,41126,421.0,29940622,5154860,5808232,Europe
Ethiopia,232512,1568,3230,22.0,173818,1838.0,55464,967.0,1984,28.0,2460888,21000,117182537,Africa
Lithuania,227976,1175,3714,13.0,207391,1426.0,16871,150.0,84678,1380.0,2516597,934749,2692270,Europe
Slovenia,227843,1056,4130,4.0,209919,1077.0,13794,146.0,109584,1986.0,1109932,533836,2079163,Europe
Costa Rica,225343,2799,3044,26.0,196060,1300.0,26239,221.0,43921,593.0,842015,164116,5130600,North America
Egypt,212130,823,12526,39.0,160431,432.0,39173,90.0,2043,121.0,2677262,25782,103842186,Africa
Guatemala,205322,2013,7057,37.0,187052,925.0,11213,5.0,11297,388.0,1118361,61535,18174497,North America
Armenia,204053,726,3775,22.0,183660,824.0,16618,0.0,68760,1272.0,909604,306512,2967598,Asia
Honduras,196086,306,4861,57.0,75952,156.0,115273,536.0,19554,485.0,542768,54126,10027818,North America
Qatar,191979,981,340,5.0,170787,593.0,20852,479.0,68373,121.0,1814379,646191,2807805,Asia
Bosnia and Herzegovina,185664,966,7566,79.0,142654,1052.0,35444,0.0,56870,2317.0,846536,259297,3264729,Europe
Venezuela,176972,1160,1815,20.0,159547,1148.0,15610,237.0,6237,64.0,3359014,118390,28372485,South America
Oman,174364,1335,1798,9.0,154771,785.0,17795,250.0,33481,345.0,1550000,297631,5207798,Asia
Libya,169504,828,2830,2.0,154220,576.0,12454,0.0,24409,408.0,919189,132363,6944442,Africa
Nigeria,163911,74,2061,0.0,154225,48.0,7625,11.0,780,10.0,1838174,8748,210120737,Africa
Bahrain,158789,1060,566,4.0,147162,1209.0,11061,84.0,90868,324.0,3815826,2183639,1747462,Asia
Uruguay,149430,2257,1595,62.0,116533,3408.0,31302,486.0,42900,458.0,1561178,448203,3483191,South America
Kenya,147147,991,2394,26.0,99580,370.0,45173,239.0,2690,44.0,1571244,28727,54695314,Africa
North Macedonia,143162,1128,4289,27.0,118946,1152.0,19927,124.0,68719,2059.0,674378,323706,2083307,Europe
Albania,128752,234,2326,5.0,98903,634.0,27523,18.0,44778,809.0,590174,205255,2875324,Europe
Algeria,118799,154,3137,3.0,82813,109.0,32849,19.0,2671,71.0,230861,5191,44469823,Africa
Estonia,115080,638,1049,12.0,96844,1598.0,17187,72.0,86706,790.0,1204118,907237,1327237,Europe
S. Korea,110688,542,1775,5.0,101332,528.0,7581,101.0,2157,35.0,8200519,159842,51303892,Asia
Latvia,108355,537,2002,12.0,99840,200.0,6513,94.0,57952,1071.0,2049958,1096391,1869732,Europe
