Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
131	Mauritania	18,103	+31	452 		17,466	+13	185	14	3,815	95	219,487	46,252	4,745,499 	Africa	26210,49922
132	French Guiana	18,081	+116	95 		9,995		7,991	13	59,330	312	174,212	571,648	304,754 	South America	173,2082
133	Tajikistan	13,308		90 		13,218		0		1,371	9			9,705,910 	Asia	729107,843
134	Burkina Faso	13,083	+19	154 		12,742	+12	187		613	7	176,016	8,243	21,352,541 	Africa	1,632138,653121
135	Haiti	12,885	+9	251 		11,723		911		1,119	22	60,085	5,219	11,512,172 	North America	89345,865192
136	Somalia	12,837		656 		5,346		6,835		790	40	102,486	6,310	16,240,698 	Africa	1,26524,757158
137	Mali	12,835	+129	426 	+5	7,309	+48	5,100		620	21	243,860	11,776	20,707,745 	Africa	1,61348,61085
138	Guadeloupe	12,717		176 		2,242		10,299	13	31,778	440	164,128	410,137	400,178 	North America	312,2742
139	Andorra	12,712	+71	123 	+2	12,105	+116	484	29	164,316	1,590	193,595	2,502,424	77,363 	Europe	66290
140	Belize	12,538	+9	318 		12,143	+2	77	1	31,088	788	109,796	272,239	403,308 	North America	321,2684
141	Togo	12,391	+90	119 	+2	9,970	+179	2,302		1,470	14	297,720	35,312	8,431,065 	Africa	68070,84928
142	Curaçao	11,769	+95	85 	+5	8,247	+266	3,437	22	71,490	516	88,371	536,805	164,624 	North America	141,9372
143	Guyana	11,642	+115	267 	+4	10,061	+46	1,314	13	14,745	338	105,519	133,644	789,554 	South America	682,9577
144	Hong Kong	11,636	+17	209 		11,253	+7	174	6	1,542	28	11,193,673	1,483,582	7,545,032 	Asia	64836,1011
145	Lesotho	10,709		315 		5,028		5,366		4,968	146	71,629	33,228	2,155,666 	Africa	2016,84330
146	South Sudan	10,432	+16	114 		10,148		170		923	10	142,254	12,592	11,297,262 	Africa	1,08399,09979
147	Djibouti	10,385	+110	110 		8,880	+135	1,395		10,392	110	143,437	143,534	999,322 	Africa	969,0857
148	Aruba	10,264	+45	92 		9,660	+49	512	14	95,813	859	139,291	1,300,266	107,125 	North America	101,1641
149	Congo	10,084		139 		8,208		1,737		1,793	25	92,500	16,445	5,624,673 	Africa	55840,46561
150	Martinique	9,890		64 		98		9,728	24	26,371	171	140,946	375,822	375,034 	North America	385,8603
151	Bahamas	9,634	+41	194 	+1	8,984	+14	456	3	24,315	490	81,855	206,594	396,211 	North America	412,0425
152	Suriname	9,496	+38	187 	+2	8,779	+28	530	12	16,074	317	47,139	79,791	590,783 	South America	623,15913
153	Papua New Guinea	9,343	+155	82 		846		8,415		1,029	9	70,260	7,738	9,080,343 	Australia/Oceania	972110,736129
154	Trinidad and Tobago	8,678		150 		7,843		685	14	6,185	107	119,034	84,838	1,403,075 	North America	1629,35412
155	Benin	7,611		95 		6,728		788	35	615	8	575,088	46,482	12,372,221 	Africa	1,626130,23422
156	Equatorial Guinea	7,259		106 		6,885		268	11	5,044	74	116,266	80,795	1,439,028 	Africa	19813,57612
157	Nicaragua	6,778		180 		4,225		2,373		1,014	27			6,686,730 	North America	98737,149
158	Iceland	6,286	+7	29 		6,184	+14	73	3	18,327	85	568,908	1,658,653	342,994 	Europe	5511,8271
159	CAR	5,728	+46	75 		5,112		541	2	1,170	15	40,907	8,355	4,895,866 	Africa	85565,278120
160	Gambia	5,720	+26	170 		5,190	+14	360	3	2,316	69	60,815	24,623	2,469,868 	Africa	43214,52941
161	Yemen	5,715	+58	1,108 	+11	2,204	+26	2,403	23	188	37	22,934	756	30,342,030 	Asia	5,30927,3851,323
162	Cambodia	5,480	+262	38 	+2	2,393	+74	3,049		324	2	788,973	46,681	16,901,357 	Asia	3,084444,77321
163	Niger	5,116	+3	190 		4,771	+4	155	1	206	8	95,186	3,824	24,890,841 	Africa	4,865131,004261
164	San Marino	5,016	+4	87 	+1	4,682	+10	247	7	147,586	2,560	58,004	1,706,653	33,987 	Europe	73911
165	Seychelles	4,834	+69	25 		4,351		458		48,913	253	21,504	217,590	98,828 	Africa	203,9535
166	Chad	4,686	+13	168 		4,329	+9	189		279	10	110,863	6,601	16,795,101 	Africa	3,58499,971151
167	Saint Lucia	4,398	+43	65 	+1	4,235	+10	98	1	23,864	353	38,495	208,882	184,291 	North America	422,8355
168	Gibraltar	4,291	+1	94 		4,181		16	1	127,394	2,791	223,889	6,646,944	33,683 	Europe	83580
169	Channel Islands	4,053		86 		3,956		11	1	23,143	491	399,901	2,283,465	175,129 	Europe	432,0360
170	Sierra Leone	4,016		79 		2,833		1,104		496	10	118,332	14,601	8,104,515 	Africa	2,018102,58968
171	Comoros	3,815	+6	146 		3,589		80		4,315	165			884,158 	Africa	2326,056
172	Barbados	3,765	+12	44 		3,648	+10	73		13,089	153	147,866	514,041	287,654 	North America	766,5382
173	Guinea-Bissau	3,710	+4	66 		3,117	+11	527	9	1,851	33	61,481	30,671	2,004,518 	Africa	54030,37133
174	Eritrea	3,491	+5	10 		3,288	+8	193		974	3	23,693	6,609	3,585,112 	Africa	1,027358,511151
175	Burundi	3,477	+53	6 		773		2,698		286	0.5	90,019	7,398	12,168,081 	Africa	3,5002,028,014135
176	Liechtenstein	2,790	+10	56 		2,665	+8	69	3	73,008	1,465	32,252	843,962	38,215 	Europe	146821
177	Vietnam	2,772	+14	35 		2,445		292		28	0.4	2,598,753	26,510	98,030,262 	Asia	35,3642,800,86538
178	New Zealand	2,591		26 		2,464		101		518	5	1,959,282	391,692	5,002,100 	Australia/Oceania	1,931192,3883
179	Monaco	2,391	+4	31 		2,276	+8	84	5	60,590	786	51,953	1,316,532	39,462 	Europe	171,2731
180	Turks and Caicos	2,369	+2	17 		2,290	+5	62	2	60,542	434	43,902	1,121,952	39,130 	North America	172,3021
181	Sao Tome and Principe	2,272	+1	35 		2,204	+3	33		10,218	157	12,597	56,651	222,361 	Africa	986,35318
182	Sint Maarten	2,202	+3	27 		2,139	+3	36	1	50,902	624	25,304	584,928	43,260 	North America	201,6022
183	Bermuda	2,060	+37	17 		1,195	+55	848	41	33,175	274	224,271	3,611,740	62,095 	North America	303,6530
184	Liberia	2,042		85 		1,899		58	2	396	17	79,684	15,470	5,151,012 	Africa	2,52360,60065
